Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2011-01-03,KOTAKNIFTY,EQ,619.3,621.0,622.0,620.0,620.0,620.0,621.19,115,7143700000.0,,60,0.5217
2011-01-04,KOTAKNIFTY,EQ,620.0,621.0,621.0,615.0,621.0,620.34,618.12,872,53899931999.99999,,221,0.2534
2011-01-05,KOTAKNIFTY,EQ,620.34,616.0,616.0,613.0,613.0,613.9,614.51,358,21999626000.0,,218,0.6089
2011-01-06,KOTAKNIFTY,EQ,613.9,611.5,611.5,609.0,609.0,609.0,609.17,146,8893950000.0,,142,0.9726
2011-01-07,KOTAKNIFTY,EQ,609.0,600.0,600.0,597.0,600.0,597.51,597.79,34,2032500000.0,,19,0.5588000000000001
2011-01-10,KOTAKNIFTY,EQ,597.51,593.0,593.0,585.0,585.0,585.0,590.58,347,20493240000.0,,109,0.3141
2011-01-11,KOTAKNIFTY,EQ,585.0,586.0,586.0,576.0,576.0,578.22,584.4,168,9817900000.0,,156,0.9286
2011-01-12,KOTAKNIFTY,EQ,578.22,580.0,589.9,577.0,589.9,587.95,580.15,1560,90502920000.0,,1510,0.9679000000000001
2011-01-13,KOTAKNIFTY,EQ,587.95,587.0,634.0,577.0,577.0,582.74,585.44,684,40044223000.0,,455,0.6652
2011-01-14,KOTAKNIFTY,EQ,582.74,577.0,586.0,574.0,574.0,574.83,580.6,638,37042100000.0,,263,0.4122
2011-01-17,KOTAKNIFTY,EQ,574.83,568.0,573.0,568.0,569.0,569.0,569.9,3499,199408225000.0,,3374,0.9643
2011-01-18,KOTAKNIFTY,EQ,569.0,576.0,577.0,571.0,577.0,573.66,572.86,2112,120987050000.0,,1901,0.9001000000000001
2011-01-19,KOTAKNIFTY,EQ,573.66,578.0,581.0,575.0,575.0,575.0,580.4,1411,81895016000.0,,1326,0.9398000000000001
2011-01-20,KOTAKNIFTY,EQ,575.0,570.0,577.0,570.0,577.0,577.0,574.3,91,5226100000.0,,80,0.8791
2011-01-21,KOTAKNIFTY,EQ,577.0,575.0,576.0,575.0,576.0,576.0,575.17,90,5176500000.0,,90,1.0
2011-01-24,KOTAKNIFTY,EQ,576.0,575.0,580.0,574.0,580.0,580.0,577.2,436,25166000000.0,,40,0.0917
2011-01-25,KOTAKNIFTY,EQ,580.0,575.0,575.0,573.0,573.0,573.0,574.09,43,2468600000.0,,28,0.6512000000000001
2011-01-27,KOTAKNIFTY,EQ,573.0,575.0,575.0,568.0,570.0,570.0,573.21,34,1948900000.0,,19,0.5588000000000001
2011-01-28,KOTAKNIFTY,EQ,570.0,564.0,564.0,550.0,554.89,553.71,554.98,1242,68928433000.0,,883,0.711
2011-01-31,KOTAKNIFTY,EQ,553.71,555.0,555.0,546.0,554.85,554.14,551.02,2942,162109806000.0,,2639,0.897
2011-02-01,KOTAKNIFTY,EQ,554.14,554.0,554.0,542.0,544.0,543.93,548.26,1909,104663538000.0,,1489,0.78
2011-02-02,KOTAKNIFTY,EQ,543.93,550.0,553.0,550.0,550.0,550.0,550.64,171,9415900000.0,,165,0.9649
2011-02-03,KOTAKNIFTY,EQ,550.0,596.0,616.0,547.0,557.0,557.0,557.03,473,26347650000.0,,152,0.3214
2011-02-04,KOTAKNIFTY,EQ,557.0,557.0,557.0,546.0,548.0,547.93,549.56,397,21817600000.0,,397,1.0
2011-02-07,KOTAKNIFTY,EQ,547.93,548.0,548.0,544.0,546.5,546.5,546.5,13631,744933193000.0,,13631,1.0
2011-02-08,KOTAKNIFTY,EQ,546.5,546.5,546.5,537.0,540.0,539.62,543.25,379,20589340000.0,,379,1.0
2011-02-09,KOTAKNIFTY,EQ,539.62,539.62,539.62,531.0,533.0,533.0,534.4,8835,472146182000.0,,8816,0.9978
2011-02-10,KOTAKNIFTY,EQ,533.0,576.0,576.0,526.0,528.0,529.08,532.9,248,13215800000.0,,230,0.9274
2011-02-11,KOTAKNIFTY,EQ,529.08,529.0,536.0,524.0,536.0,534.75,528.91,505,26709900000.0,,503,0.996
2011-02-14,KOTAKNIFTY,EQ,534.75,541.5,549.5,541.5,549.5,549.5,549.45,27532,1512738850000.0,,27390,0.9948
2011-02-15,KOTAKNIFTY,EQ,549.5,549.0,557.0,546.0,553.0,554.28,552.17,13159,726600100000.0,,13028,0.99
2011-02-16,KOTAKNIFTY,EQ,554.28,552.0,554.0,552.0,554.0,554.0,553.1,2028,112168100000.0,,2025,0.9984999999999999
2011-02-17,KOTAKNIFTY,EQ,554.0,554.0,558.0,554.0,558.0,558.0,554.99,282,15650800000.0,,281,0.9965
2011-02-18,KOTAKNIFTY,EQ,558.0,524.6,596.0,524.6,550.0,552.99,557.99,62774,3502723679999.9995,,62486,0.9954000000000001
